question,refined_correct_options,refined_incorrect_options
"The IMAX screen was even bigger than he imagined, it was so big he felt outdoors rather than in a what?","['immersive theatre', 'large format cinema', 'expansive viewing space']","['outdoor festival', 'drive-in theater', 'home theater', 'small cinema room']"
A marmot is an animal that is normally found in what type of environment?,"['mountainous terrain', 'subalpine meadows', 'temperate regions']","['arid deserts', 'urban developments', 'tropical wetlands', 'frozen tundras']"
What business is likely to have few cubicles?,"['design studio', 'event planning', 'art gallery']","['shared workspace', 'customer service', 'construction office', 'educational facility']"
"Josh is someone who usually stays up late. He's very much a night person. Now he's applying to for a nine to five job, but he's worried that he might get what?","['less sleep', 'morning fatigue', 'adjustment issues']","['job offer', 'higher salary', 'increased hours', 'more responsibilities']"
What will happen to your clothes if you are full?,"['tightens around waist', 'restricts bending movement', 'increases seam pressure']","['fits better after washing', 'remains unchanged fit', 'shrinks over time', 'loosens around waist']"
"My idea of entertainment is gambling, where should I go?","['poker tournament venue', 'betting exchange', 'online gaming platform']","['charity event', 'local pub quiz', 'sports viewing party', 'family reunion']"
"You're not traveling but you need to put your shirt somewhere, what is the name of the object that you'd put it in?","['clothing organizer', 'storage compartment', 'hanging space']","['travel container', 'temporary storage', 'laundry receptacle', 'outdoor bin']"
What does a person sometimes do after they finish secondary education?,"['pursue higher education', 'explore vocational skills', 'engage in community service']","['travel for leisure', 'attend unrelated events', 'start random projects', 'apply without experience']"
"A human seeks clothing and electronics in the same place, where does he go?","['general merchandise store', 'retail outlet center', 'online marketplace']","['home improvement store', 'business conference', 'local flea market', 'art supply shop']"
If a person has stage fright and is about to go on stage what will they experience?,"['nervous tension', 'mental rehearsal', 'physical discomfort']","['unexpected applause', 'enthusiastic audience', 'calm prior experience', 'excitement from spotlight']"
What might someone get on a test that requires an answer?,"['knowledge assessment', 'conceptual application', 'analytical response']","['random opinion', 'subjective guess', 'irrelevant remark', 'incomplete answer']"
What would happen to a building if it is not needed any more?,"['deteriorate over time', 'become a target for vandalism', 'be repurposed for another function']","['serve as a historical landmark', 'generate energy through solar panels', 'provide shelter for wildlife', 'act as a community meeting space']"
"He felt embarrassed he spilled his soup bowl, he knew the waiter who had to clean it up because he was at his favorite what?","['dining spot', 'culinary venue', 'social eatery']","['home kitchen', 'takeout service', 'office pantry', 'grocery aisle']"
"If someone wants a changing society, what do they need from their government?","['innovative regulations', 'community-driven programs', 'sustainable development incentives']","['public celebrations', 'temporary alliances', 'general goodwill', 'limited outreach']"
What would you need at least two computers to do?,"['manage network traffic', 'develop collaborative software', 'perform simultaneous calculations']","['share internet access', 'execute basic tasks', 'install updates', 'stream content']"
The snake was found in a cave north of Texas.  Where might it have been found?,"['adjacent cave system', 'wildlife refuge', 'rocky terrain']","['tropical region', 'indoor aquarium', 'urban backyard', 'deserted beach']"
Where would you first look for your dog?,"['back yard', 'search under deck', 'call name near fence']","['busy street', ""stranger's yard"", 'abandoned warehouse', 'waiting room']"
"If I am playing a xylophone with a large, amateur ensemble of young people, what am I a member of?","['youth music group', 'beginner ensemble', 'community percussion team']","['adult choir', 'professional orchestra', 'solo performance group', 'competitive band']"
What is a method expressing yourself while making an object of lasting beauty?,"['crafting exquisite artifacts', 'curating artistic experiences', 'designing aesthetic structures']","['decorating temporary displays', 'performing spontaneous acts', 'writing casual notes', 'completing mundane tasks']"
How do you usually rest when you are laying down in a bed?,"['visualizing peaceful scenes', 'reflecting on daily events', 'savoring calming scents']","['watching action films', 'scrolling through news', 'engaging in discussions', 'dancing to music']"
What happens when someone is resting when they are tired?,"['enter deep relaxation', 'experience heart rate drop', 'allow muscle recovery']","['feel time passing', 'remain inactive', 'suddenly feel energized', 'experience increased tension']"
Where are you likely to find more than one parking lot?,"['urban centers', 'commercial districts', 'large events']","['small towns', 'festivals', 'train stations', 'beach resorts']"
A builder looking for wood to build a new home is likely to visit what location?,"['construction supply hub', 'wood sourcing agency', 'custom lumber provider']","['furniture showroom', 'hardware tool outlet', 'landscaping center', 'real estate office']"
"His first big break wasn't with his band, but he played his musical instrument for the soundtrack of a what?","['feature film', 'interactive experience', 'theatrical production']","['print media', 'live performance', 'soundtrack album', 'advertising project']"
"James was a mean person, but he was also very what?","['unexpectedly charitable', 'strategically supportive', 'occasionally forgiving']","['emotionally distant', 'disgenuously polite', 'habitually untrustworthy', 'temporarily helpful']"
"After the lunch break, what did the men resume doing?","['collaborating on tasks', 'conducting reviews', 'analyzing performance']","['organizing files', 'planning future events', 'discussing personal matters', 'rearranging furniture']"
Where is a boat always supposed to be?,"['navigating through waterways', 'anchored in mooring areas', 'docked at safe facilities']","['stored in a garage', 'beached during low tide', 'floating in a pond', 'tied to a pier']"
"If someone is agreeing with everybody they're bound to get caught in the middle, this can create more of a what?","['conflict of interests', 'dilemma in decision-making', 'complexity in relationships']","['universal accord', 'peaceful coexistence', 'shared understanding', 'collective harmony']"
